latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.08902,-118.41458,Entire home/apt,10,3900.0,365,,1,Los Angeles
34.05228280688662,-118.39561067671796,Entire home/apt,8,332.0,267,4.57,1,Los Angeles
34.09624,-118.34656,Entire home/apt,2,295.0,245,5.0,1,Los Angeles
33.97713,-118.46279,Entire home/apt,2,177.0,305,4.91,1,Los Angeles
34.0768,-118.35301,Entire home/apt,2,63.0,276,4.8,1,Los Angeles
33.98798,-118.47245,Entire home/apt,2,130.0,364,4.8,1,Los Angeles
33.83889,-118.38537,Entire home/apt,2,145.0,340,4.71,1,Los Angeles
34.10942,-118.22003,Entire home/apt,5,350.0,364,4.98,1,Los Angeles
34.04579,-118.44166,Entire home/apt,1,101.0,365,4.37,1,Los Angeles
34.1674,-118.64293,Private room,2,57.0,152,4.71,0,Los Angeles
34.09241,-118.28065,Entire home/apt,4,260.0,335,4.93,1,Los Angeles
33.91961,-118.42146,Entire home/apt,2,127.0,305,4.85,1,Los Angeles
33.762,-118.12665,Private room,2,256.0,360,4.92,0,Los Angeles
34.00351,-118.478,Entire home/apt,2,220.0,365,4.94,1,Los Angeles
34.16108,-118.10577,Private room,2,81.0,362,4.95,0,Los Angeles
34.08898,-118.25007,Entire home/apt,4,155.0,92,4.94,1,Los Angeles
34.02496,-118.38513,Private room,1,170.0,362,4.83,0,Los Angeles
33.99314,-118.46053,Entire home/apt,10,823.0,308,4.92,1,Los Angeles
33.747541,-118.3031779,Private room,2,38.0,349,4.85,0,Los Angeles
34.04682,-118.43568,Entire home/apt,4,109.0,261,4.5,1,Los Angeles
33.99492,-118.45825,Entire home/apt,2,702.0,179,4.9,1,Los Angeles
33.9943,-118.45642,Entire home/apt,5,1499.0,269,4.94,1,Los Angeles
34.09928,-118.59125,Entire home/apt,4,225.0,149,4.79,1,Los Angeles
33.99327,-118.44407,Entire home/apt,3,163.0,212,4.91,1,Los Angeles
34.03926,-118.38017,Private room,2,54.0,365,4.3,0,Los Angeles
34.1982,-118.4589,Private room,2,55.0,59,4.41,0,Los Angeles
33.91942,-118.20913,Private room,2,94.0,160,4.41,0,Los Angeles
34.05479,-118.36375,Private room,2,77.0,185,4.67,0,Los Angeles
34.07567,-118.25068,Entire home/apt,2,107.0,112,4.83,1,Los Angeles
34.09451,-118.27413,Entire home/apt,2,338.0,362,4.92,1,Los Angeles
33.85446,-118.39645,Private room,2,137.0,256,4.94,0,Los Angeles
34.0667,-118.35127,Entire home/apt,3,175.0,358,4.5,1,Los Angeles
33.84705,-118.19424,Entire home/apt,6,228.0,270,4.75,1,Los Angeles
33.84731,-118.19586,Entire home/apt,6,275.0,365,4.85,1,Los Angeles
34.00393424722849,-118.45592128999488,Entire home/apt,2,176.0,310,4.94,1,Los Angeles
34.13973,-118.40872,Entire home/apt,3,225.0,249,4.91,1,Los Angeles
34.09365724616285,-118.43545058668543,Entire home/apt,4,933.0,329,4.61,1,Los Angeles
34.10336,-118.32366,Entire home/apt,4,111.0,322,4.52,1,Los Angeles
34.10632,-118.22361,Private room,2,65.0,336,4.85,0,Los Angeles
34.09574,-118.27788,Entire home/apt,4,122.0,244,4.91,1,Los Angeles
34.08574,-118.28536,Entire home/apt,2,150.0,337,4.91,1,Los Angeles
34.01269,-118.40788,Entire home/apt,6,325.0,12,4.89,1,Los Angeles
34.11307089613558,-118.60924942642606,Entire home/apt,4,228.0,297,4.93,1,Los Angeles
34.08655,-118.59557,Entire home/apt,2,193.0,167,4.95,1,Los Angeles
34.09669,-118.33316,Entire home/apt,2,169.0,66,4.85,1,Los Angeles
