city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates
Los Angeles,90001,39,112.82051282051282,0.6153846153846154,4.626666666666667,3.871794871794872
Los Angeles,90002,8,103.25,0.875,4.66375,3.75
Los Angeles,90003,38,120.34210526315789,0.5,4.506296296296297,4.842105263157895
Los Angeles,90004,234,226.25641025641025,0.7735042735042735,4.765570469798658,4.085470085470085
Los Angeles,90005,212,120.9622641509434,0.5566037735849056,4.675252525252525,2.7216981132075473
Los Angeles,90006,210,124.83333333333333,0.47619047619047616,4.528409090909091,3.6476190476190475
Los Angeles,90007,148,72.95945945945945,0.25,4.717910447761194,2.675675675675676
Los Angeles,90008,174,205.94252873563218,0.5229885057471264,4.561384615384616,3.839080459770115
Los Angeles,90010,58,113.24137931034483,0.46551724137931033,4.281818181818182,2.396551724137931
Los Angeles,90011,84,57.20238095238095,0.10714285714285714,4.597058823529412,2.0476190476190474
Los Angeles,90012,191,164.84293193717278,0.7015706806282722,4.700267857142856,3.277486910994764
Los Angeles,90013,155,155.33548387096775,0.8709677419354839,4.7567272727272725,3.0
Los Angeles,90014,238,222.49579831932772,0.8277310924369747,4.7459375,3.722689075630252
Los Angeles,90015,258,241.4108527131783,0.8255813953488372,4.820869565217391,3.6705426356589146
Los Angeles,90016,344,142.38953488372093,0.6337209302325582,4.706752136752137,3.7674418604651163
Los Angeles,90017,294,163.76530612244898,0.9149659863945578,4.714476190476191,3.2448979591836733
Los Angeles,90018,648,73.28086419753086,0.19598765432098766,4.49168776371308,2.4799382716049383
Los Angeles,90019,454,157.37665198237886,0.6784140969162996,4.755138888888889,3.7268722466960353
Los Angeles,90020,106,119.02830188679245,0.5377358490566038,4.365441176470589,2.6320754716981134
Los Angeles,90021,8,142.5,1.0,4.9159999999999995,2.875
Los Angeles,90022,71,124.56338028169014,0.7605633802816901,4.709508196721311,4.140845070422535
Los Angeles,90023,45,106.55555555555556,0.5333333333333333,4.734102564102564,3.1777777777777776
Los Angeles,90024,393,192.60050890585242,0.5114503816793893,4.803484848484849,2.776081424936387
Los Angeles,90025,357,178.7310924369748,0.6666666666666666,4.775168067226891,3.1484593837535013
Los Angeles,90026,526,193.68250950570342,0.8783269961977186,4.848073170731707,3.634980988593156
Los Angeles,90027,296,233.9222972972973,0.7668918918918919,4.839642857142858,3.375
Los Angeles,90028,777,178.6808236808237,0.7606177606177607,4.653202614379086,3.6254826254826256
Los Angeles,90029,182,162.6868131868132,0.7527472527472527,4.64953488372093,3.521978021978022
Los Angeles,90031,69,141.85507246376812,0.7391304347826086,4.825490196078431,3.536231884057971
Los Angeles,90032,97,147.6701030927835,0.7731958762886598,4.90025,3.6082474226804124
Los Angeles,90033,56,120.35714285714286,0.7678571428571429,4.688409090909091,3.5357142857142856
Los Angeles,90034,322,159.78571428571428,0.7981366459627329,4.7286752136752135,3.1770186335403725
Los Angeles,90035,361,197.15512465373962,0.7811634349030471,4.651284403669725,4.008310249307479
Los Angeles,90036,330,281.8606060606061,0.8636363636363636,4.703838862559242,4.375757575757576
Los Angeles,90037,123,133.7642276422764,0.44715447154471544,4.720217391304348,3.4878048780487805
Los Angeles,90038,347,198.7406340057637,0.7838616714697406,4.771476793248945,3.8213256484149856
Los Angeles,90039,240,225.90416666666667,0.9125,4.875427135678392,3.5125
