city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates,avg_rent_2024,avg_rent_2025,rent_growth
Los Angeles,90001,39,112.82051282051282,0.6153846153846154,4.626666666666667,3.871794871794872,,2406.319872304687,
Los Angeles,90002,8,103.25,0.875,4.66375,3.75,,2424.8826342970788,
Los Angeles,90003,38,120.34210526315789,0.5,4.506296296296297,4.842105263157895,2595.3295169172006,2601.8429841831903,0.002509687969690469
Los Angeles,90004,234,226.25641025641025,0.7735042735042735,4.765570469798658,4.085470085470085,2239.781699556283,2291.0955771112067,0.0229102137789095
Los Angeles,90005,212,120.9622641509434,0.5566037735849056,4.675252525252525,2.7216981132075473,2436.337077831227,2442.6714598926224,0.0025999612775397117
Los Angeles,90006,210,124.83333333333333,0.47619047619047616,4.528409090909091,3.6476190476190475,1902.2167718870323,1913.4729103984907,0.005917379489979008
Los Angeles,90007,148,72.95945945945945,0.25,4.717910447761194,2.675675675675676,2377.15648244734,2430.236665488098,0.022329275936479705
Los Angeles,90008,174,205.94252873563218,0.5229885057471264,4.561384615384616,3.839080459770115,2208.182550171026,2241.47048149791,0.01507480951894393
Los Angeles,90010,58,113.24137931034483,0.46551724137931033,4.281818181818182,2.396551724137931,3017.3431974546693,3065.641896779338,0.016007028754770693
Los Angeles,90011,84,57.20238095238095,0.10714285714285714,4.597058823529412,2.0476190476190474,2672.5084166930205,2785.7440497429216,0.04237054309824009
Los Angeles,90012,191,164.84293193717278,0.7015706806282722,4.700267857142856,3.277486910994764,2454.2969714614696,2467.424850204906,0.005348936537056029
Los Angeles,90013,155,155.33548387096775,0.8709677419354839,4.7567272727272725,3.0,2790.8109493037537,2774.994975929101,-0.005667160428261254
Los Angeles,90014,238,222.49579831932772,0.8277310924369747,4.7459375,3.722689075630252,2548.7559264922324,2542.275012157213,-0.0025427755822578398
Los Angeles,90015,258,241.4108527131783,0.8255813953488372,4.820869565217391,3.6705426356589146,2649.350378119291,2664.6094979494396,0.005759570329455979
Los Angeles,90016,344,142.38953488372093,0.6337209302325582,4.706752136752137,3.7674418604651163,3337.6518113708826,3435.3139364282033,0.029260728972567006
Los Angeles,90017,294,163.76530612244898,0.9149659863945578,4.714476190476191,3.2448979591836733,2701.4676391646085,2708.527455495274,0.0026133262632191106
Los Angeles,90018,648,73.28086419753086,0.19598765432098766,4.49168776371308,2.4799382716049383,2415.914158384376,2483.6628531069755,0.02804267464863311
Los Angeles,90019,454,157.37665198237886,0.6784140969162996,4.755138888888889,3.7268722466960353,2666.158673354192,2727.2427468018504,0.022910892010343388
Los Angeles,90020,106,119.02830188679245,0.5377358490566038,4.365441176470589,2.6320754716981134,1983.5211892039658,1945.3959246003194,-0.019221001928871252
Los Angeles,90021,8,142.5,1.0,4.9159999999999995,2.875,2744.162446958469,2753.642818471635,0.00345474136331609
Los Angeles,90022,71,124.56338028169014,0.7605633802816901,4.709508196721311,4.140845070422535,,2035.5466823482445,
Los Angeles,90023,45,106.55555555555556,0.5333333333333333,4.734102564102564,3.1777777777777776,2257.1043121557805,2230.5894493546307,-0.011747291721677317
Los Angeles,90024,393,192.60050890585242,0.5114503816793893,4.803484848484849,2.776081424936387,3869.086637776624,3994.906446338148,0.03251925333825726
Los Angeles,90025,357,178.7310924369748,0.6666666666666666,4.775168067226891,3.1484593837535013,3070.4432538967108,3141.330881034531,0.023087098922234307
Los Angeles,90026,526,193.68250950570342,0.8783269961977186,4.848073170731707,3.634980988593156,2575.2481518835543,2640.921447292505,0.025501734798223933
Los Angeles,90027,296,233.9222972972973,0.7668918918918919,4.839642857142858,3.375,2619.6882840933545,2668.3772079536643,0.018585769977270614
Los Angeles,90028,777,178.6808236808237,0.7606177606177607,4.653202614379086,3.6254826254826256,2542.741751601023,2609.1175706962454,0.026104034770117326
Los Angeles,90029,182,162.6868131868132,0.7527472527472527,4.64953488372093,3.521978021978022,2217.3428645182407,2221.055490729732,0.0016743582018371376
Los Angeles,90031,69,141.85507246376812,0.7391304347826086,4.825490196078431,3.536231884057971,2368.7330024459106,2485.202542950111,0.0491695519857814
Los Angeles,90032,97,147.6701030927835,0.7731958762886598,4.90025,3.6082474226804124,2290.2503778818623,2378.4868680447717,0.03852700604923156
Los Angeles,90033,56,120.35714285714286,0.7678571428571429,4.688409090909091,3.5357142857142856,2305.417630305482,2357.590018779191,0.022630341586654626
Los Angeles,90034,322,159.78571428571428,0.7981366459627329,4.7286752136752135,3.1770186335403725,2615.6585327879825,2669.265741515829,0.020494727448505192
Los Angeles,90035,361,197.15512465373962,0.7811634349030471,4.651284403669725,4.008310249307479,3353.9683568031232,3451.3463895831555,0.029033676654257223
Los Angeles,90036,330,281.8606060606061,0.8636363636363636,4.703838862559242,4.375757575757576,2810.3805067018543,2856.9184675732326,0.0165593095882925
Los Angeles,90037,123,133.7642276422764,0.44715447154471544,4.720217391304348,3.4878048780487805,2414.038051979438,2451.7266798847445,0.01561227581910026
Los Angeles,90038,347,198.7406340057637,0.7838616714697406,4.771476793248945,3.8213256484149856,2717.7885298634546,2752.0394871110398,0.012602510044924626
Los Angeles,90039,240,225.90416666666667,0.9125,4.875427135678392,3.5125,2998.703946194469,3115.872917559247,0.039073204113221044
Los Angeles,90041,96,200.71875,0.9166666666666666,4.918888888888889,3.6041666666666665,2855.2243110977474,3026.48599968445,0.059981868297015656
Los Angeles,90042,199,184.44723618090453,0.8492462311557789,4.87746835443038,3.301507537688442,2731.904022446539,2858.7583230285672,0.04643439137676031
Los Angeles,90043,283,179.7703180212014,0.7915194346289752,4.75042735042735,4.392226148409894,2272.825492264999,2308.485914887012,0.015689907889265744
Los Angeles,90044,112,129.52678571428572,0.6071428571428571,4.62948717948718,4.401785714285714,2398.2855347285235,2369.6953192062133,-0.011921105768394898
Los Angeles,90045,200,203.86,0.83,4.875275590551181,3.77,2768.7274293173377,2832.4454528550855,0.023013469243326045
Los Angeles,90046,1353,389.6777531411678,0.8928307464892831,4.801776447105788,4.4131559497413155,2741.3177240053597,2803.358690894369,0.022631804531712856
